Dataset,custo,limiar,qualidade,tempo,memoria,tamanho,algoritmo
a280,2948.487359584706,2579.0,1.1432676849882537,0.3894975185394287,72.4765625,280,chr
berlin52,8547.937221502318,7542.0,1.1333780458104372,0.0414481163024902,57.25390625,52,chr
bier127,131572.81631004805,118282.0,1.112365502021001,0.2057521343231201,61.94140625,127,chr
ch130,6714.786875659576,6110.0,1.0989831220392106,0.1225538253784179,60.93359375,130,chr
ch150,7071.864060390391,6528.0,1.083312509250979,0.148921251296997,61.94140625,150,chr
d1291,56641.15114407369,50801.0,1.1149613421797542,6.488335371017456,353.5703125,1291,chr
d1655,69063.30254927599,62128.0,1.1116292581328224,32.933459520339966,581.41796875,1655,chr
d198,16132.960643657329,15780.0,1.0223675946550903,0.4123265743255615,66.1796875,198,chr
d2103,83376.52308668203,79952.81,1.042821673017897,7.093951940536499,875.50390625,2103,chr
d493,36282.96611396651,35002.0,1.0365969405738675,2.519688606262207,100.80078125,493,chr
d657,53421.6848437344,48912.0,1.0921999681823356,6.232712745666504,133.44921875,657,chr
eil101,718.5252896215961,629.0,1.1423295542473706,0.1179838180541992,59.5859375,101,chr
eil51,480.7421413550256,426.0,1.1285026792371493,0.0450584888458251,57.3203125,51,chr
eil76,614.9957401252653,538.0,1.1431147585971475,0.067258596420288,58.40234375,76,chr
fl1400,22615.51691824143,20127.0,1.123640727293756,79.4856071472168,493.765625,1400,chr
fl1577,24493.7286463792,22204.22,1.1031114196481209,16.41768479347229,532.30078125,1577,chr
fl3795,31261.409183065545,28723.29,1.0883645008307037,411.2870800495148,2759.45703125,3795,chr
fl417,13410.956789549398,11861.0,1.1306767380110785,0.7803893089294434,87.85546875,417,chr
gil262,2672.9507238217057,2378.0,1.1240331050553851,0.5008995532989502,71.74609375,262,chr
kroA100,23004.897863912705,21282.0,1.0809556368721316,0.0908231735229492,59.484375,100,chr
kroA150,29610.792151342725,26524.0,1.1163773243606818,0.2763409614562988,63.31640625,150,chr
kroA200,33485.81152196949,29368.0,1.1402142305219791,0.2789750099182129,66.3828125,200,chr
kroB100,23913.2309075118,22141.0,1.0800429478122848,0.0644266605377197,59.30859375,100,chr
kroB150,30022.07650513455,26130.0,1.148950497708938,0.3062961101531982,63.39453125,150,chr
kroB200,33022.1584255435,29437.0,1.1217908898849578,0.2594668865203857,66.0390625,200,chr
kroC100,23436.81996328901,20749.0,1.1295397350854983,0.0856561660766601,59.640625,100,chr
kroD100,23494.40255210979,21294.0,1.1033343924161638,0.0835583209991455,59.66015625,100,chr
kroE100,23708.580031093654,22068.0,1.0743420351229678,0.1116633415222168,59.53515625,100,chr
lin105,16173.66246694072,14379.0,1.1248113545406997,0.1028540134429931,59.30859375,105,chr
lin318,47109.74320312368,42029.0,1.1208866069410093,0.7258963584899902,77.1640625,318,chr
linhp318,47109.74320312368,41345.0,1.139430238314758,0.6969034671783447,77.046875,318,chr
nrw1379,63821.725549146366,56638.0,1.1268357913264304,83.74683952331543,438.45703125,1379,chr
p654,38689.4039813184,34643.0,1.1168029322321509,0.8237118721008301,128.97265625,654,chr
pcb1173,63352.44076572175,56892.0,1.1135562252288853,23.52364706993103,304.71484375,1173,chr
pcb3038,154166.52351436342,137694.0,1.1196313820091175,403.6229648590088,1864.33984375,3038,chr
pcb442,54528.24550147166,50778.0,1.0738557151024393,1.4815027713775637,97.87890625,442,chr
pr1002,283671.2211923636,259045.0,1.0950654179480923,18.635709285736084,247.17578125,1002,chr
pr107,47611.34197213163,44303.0,1.0746753486701044,0.0644643306732177,59.265625,107,chr
pr124,64185.06451837963,59030.0,1.0873295700216776,0.0572514533996582,59.78515625,124,chr
pr136,103146.90817636026,96772.0,1.0658755443347276,0.0604743957519531,60.609375,136,chr
pr144,70255.28109712257,58537.0,1.2001858840924982,0.0549805164337158,60.63671875,144,chr
pr152,78725.57201087932,73682.0,1.0684505308064292,0.0562119483947753,61.19140625,152,chr
pr226,91048.96771328928,80369.0,1.1328866567120317,0.3373126983642578,69.55859375,226,chr
pr2392,425879.5854699718,378032.0,1.1265701990042425,188.716166973114,1099.79296875,2392,chr
pr264,54055.32618124501,49135.0,1.1001389270630917,0.3390126228332519,70.5,264,chr
pr299,52868.21479072805,48191.0,1.0970557737072908,0.5321354866027832,73.89453125,299,chr
pr439,119351.7583392319,107217.0,1.113179424337856,0.8114376068115234,92.49609375,439,chr
pr76,115565.5006572246,108159.0,1.0684778951102043,0.055366039276123,58.25390625,76,chr
rat195,2634.0952220519634,2323.0,1.1339195962341642,0.3439083099365234,65.23046875,195,chr
rat575,7794.938945342592,6773.0,1.150884238202066,4.600264310836792,117.40625,575,chr
rat783,10095.25875861338,8806.0,1.1464068542599797,11.912132978439333,180.546875,783,chr
rat99,1342.8352309699785,1211.0,1.108864765458281,0.0709297657012939,59.41796875,99,chr
rd100,8883.83241828482,7910.0,1.1231140857502933,0.1326575279235839,59.80859375,100,chr
rd400,17532.158004526493,15281.0,1.1473174533424837,1.9636356830596924,92.86328125,400,chr
rl1304,278223.19310530246,252948.0,1.0999224864608634,7.067962169647217,360.06640625,1304,chr
rl1323,298134.45619015,270199.0,1.1033884514381993,7.048655986785889,368.75390625,1323,chr
rl1889,344545.95294951776,316536.0,1.0884889963527615,21.98991537094116,727.94140625,1889,chr
st70,754.9194723308292,675.0,1.118399218267895,0.0823767185211181,58.21875,70,chr
ts225,133782.1703627935,126643.0,1.0563724040238582,0.1358592510223388,66.44921875,225,chr
tsp225,4361.502889600349,3919.0,1.1129121943353786,0.2469239234924316,66.37890625,225,chr
u1060,248950.55291529623,224094.0,1.110920207213474,24.908454418182373,263.90234375,1060,chr
u1432,171517.48382093737,152970.0,1.121249158795433,25.754642009735107,457.0234375,1432,chr
u159,47298.87361376575,42080.0,1.124022661924091,0.1721022129058838,62.65625,159,chr
u1817,66739.46518440415,57201.0,1.1667534690722916,36.43027210235596,676.37890625,1817,chr
u2152,73882.06535664607,64253.0,1.149861724069632,54.72762179374695,911.70703125,2152,chr
u2319,271812.0035153016,234256.0,1.1603203483168054,222.3785674571991,1223.8828125,2319,chr
u574,41333.48004759912,36905.0,1.1199967496978491,4.138451814651489,115.30859375,574,chr
